State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,NORWALK,2018,"106,158 ",219 ,5 ,4 ,61 ,149 ,"1,057 ",222 ,604 ,231 ,4 
,,2019,,212 ,2 ,13 ,63 ,134 ,809 ,171 ,462 ,176 ,10 
,OAKLAND,2018,"430,230 ","2,675 ",32 ,214 ,"1,220 ","1,209 ","10,677 ","1,160 ","7,021 ","2,496 ",106 
,,2019,,"2,700 ",40 ,192 ,"1,337 ","1,131 ","12,053 ","1,217 ","8,324 ","2,512 ",84 
,OCEANSIDE,2018,"177,464 ",309 ,3 ,33 ,72 ,201 ,"1,845 ",258 ,"1,346 ",241 ,12 
,,2019,,319 ,2 ,43 ,78 ,196 ,"1,810 ",191 ,"1,405 ",214 ,10 
,ONTARIO,2018,"177,542 ",314 ,5 ,57 ,109 ,143 ,"2,344 ",346 ,"1,487 ",511 ,17 
,,2019,,329 ,4 ,54 ,109 ,162 ,"2,070 ",354 ,"1,248 ",468 ,16 
,ORANGE,2018,"141,108 ",91 ,2 ,1 ,44 ,44 ,"1,232 ",239 ,852 ,141 ,10 
,,2019,,87 ,1 ,6 ,39 ,41 ,"1,039 ",192 ,734 ,113 ,3 
,OXNARD,2018,"211,737 ",427 ,8 ,32 ,195 ,192 ,"2,591 ",351 ,"1,831 ",409 ,20 
,,2019,,368 ,7 ,29 ,144 ,188 ,"2,294 ",343 ,"1,612 ",339 ,23 
,PALMDALE,2018,"158,177 ",325 ,3 ,22 ,84 ,216 ,"1,203 ",287 ,692 ,224 ,9 
,,2019,,331 ,5 ,27 ,105 ,194 ,"1,094 ",202 ,691 ,201 ,6 
,PASADENA,2018,"143,448 ",236 ,2 ,21 ,75 ,138 ,"1,447 ",349 ,934 ,164 ,10 
,,2019,,329 ,1 ,21 ,78 ,229 ,"1,358 ",315 ,924 ,119 ,14 
,POMONA,2018,"153,496 ",442 ,8 ,44 ,180 ,210 ,"2,370 ",413 ,"1,429 ",528 ,17 
,,2019,,450 ,8 ,48 ,154 ,240 ,"2,107 ",408 ,"1,245 ",454 ,7 
,RIALTO,2018,"104,173 ",243 ,2 ,26 ,87 ,128 ,"1,408 ",226 ,872 ,310 ,7 
,,2019,,253 ,4 ,28 ,78 ,143 ,"1,618 ",202 ,"1,116 ",300 ,9 
,RICHMOND,2018,"110,982 ",509 ,7 ,13 ,191 ,298 ,"2,086 ",130 ,"1,092 ",864 ,17 
,,2019,,533 ,7 ,21 ,149 ,356 ,"2,039 ",229 ,"1,195 ",615 ,17 
,RIVERSIDE,2018,"331,022 ",801 ,9 ,73 ,271 ,448 ,"5,199 ",754 ,"3,552 ",893 ,35 
,,2019,,861 ,5 ,50 ,231 ,575 ,"4,511 ",638 ,"3,164 ",709 ,20 
,ROSEVILLE,2018,"137,706 ",125 ,2 ,15 ,60 ,48 ,"1,744 ",231 ,"1,363 ",150 ,3 
,,2019,,100 ,2 ,14 ,38 ,46 ,"1,471 ",196 ,"1,166 ",109 ,6 
,SACRAMENTO,2018,"507,037 ","1,606 ",17 ,54 ,491 ,"1,044 ","7,649 ","1,348 ","4,887 ","1,414 ",62 
,,2019,,"1,561 ",18 ,54 ,515 ,974 ,"8,002 ","1,464 ","5,131 ","1,407 ",66 
,SALINAS,2018,"158,590 ",484 ,9 ,54 ,156 ,265 ,"2,145 ",495 ,"1,069 ",581 ,13 
,,2019,,426 ,1 ,37 ,147 ,241 ,"2,032 ",460 ,997 ,575 ,12 
,SAN BERNARDINO,2018,"217,986 ","1,422 ",21 ,87 ,462 ,852 ,"4,446 ","1,119 ","2,311 ","1,016 ",32 
,,2019,,"1,373 ",20 ,81 ,452 ,820 ,"4,373 ","1,078 ","2,243 ","1,052 ",38 
,SAN DIEGO,2018,"1,436,495 ","2,630 ",18 ,310 ,653 ,"1,649 ","12,983 ","1,798 ","8,698 ","2,487 ",91 
,,2019,,"2,558 ",19 ,263 ,672 ,"1,604 ","13,543 ","1,821 ","9,193 ","2,529 ",59 
,SAN FRANCISCO,2018,"889,282 ","3,060 ",21 ,185 ,"1,521 ","1,333 ","23,559 ","2,583 ","18,998 ","1,978 ",128 
,,2019,,"2,711 ",20 ,167 ,"1,356 ","1,168 ","22,053 ","2,277 ","17,760 ","2,016 ",125 
,SAN JOSE,2018,"1,047,305 ","2,077 ",15 ,257 ,788 ,"1,017 ","13,018 ","2,253 ","6,468 ","4,297 ",71 
,,2019,,"2,237 ",17 ,311 ,665 ,"1,244 ","12,485 ","2,052 ","7,272 ","3,161 ",47 
,SAN MATEO,2018,"105,839 ",136 ,0 ,6 ,40 ,90 ,"1,076 ",346 ,618 ,112 ,3 
,,2019,,141 ,2 ,26 ,35 ,78 ,"1,071 ",256 ,723 ,92 ,5 
,SANTA CLARA,2018,"128,682 ",103 ,0 ,26 ,36 ,41 ,"1,620 ",185 ,"1,218 ",217 ,4 
,,2019,,115 ,0 ,23 ,36 ,56 ,"2,447 ",179 ,"2,064 ",204 ,14 
,SANTA CLARITA,2018,"216,589 ",169 ,3 ,23 ,54 ,89 ,"1,295 ",310 ,832 ,153 ,15 
,,2019,,114 ,0 ,22 ,42 ,50 ,"1,001 ",213 ,682 ,106 ,4 
,SANTA ROSA,2018,"176,325 ",389 ,3 ,81 ,64 ,241 ,"1,556 ",256 ,"1,096 ",204 ,14 
,,2019,,418 ,2 ,73 ,61 ,282 ,"1,402 ",194 ,"1,057 ",151 ,12 
