State,City,,Population1,"Violent
crime",Murder,Forcible rape,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
,,2011,"108,287",162,1,25,34,102,"2,545",304,"2,052",189,29,,
,AURORA,2010,,"1,449",24,181,507,737,"10,056","2,291","6,875",890,68,,
,,2011,"330,740","1,452",12,185,504,751,"9,913","2,149","6,896",868,87,,
,BOULDER,2010,,210,4,33,29,144,"2,722",477,"2,155",90,56,,
,,2011,"99,081",276,2,35,36,203,"2,494",467,"1,904",123,55,,
,CENTENNIAL,2010,,160,0,19,26,115,"1,456",274,"1,122",60,9,,
,,2011,"102,125",162,0,27,23,112,"1,354",325,958,71,20,,
,COLORADO SPRINGS,2010,,"1,961",20,323,526,"1,092","16,793","3,452","12,053","1,288",99,,
,,2011,"423,680","1,875",28,325,451,"1,071","15,922","3,322","11,425","1,175",104,,
,DENVER,2010,,"3,387",28,371,943,"2,045","20,686","4,505","12,951","3,230",130,,
,,2011,"610,612","3,705",33,393,"1,143","2,136","22,515","4,871","14,055","3,589",95,,
,FORT COLLINS,2010,,439,0,61,50,328,"4,553",643,"3,708",202,36,,
,,2011,"146,494",413,3,56,45,309,"4,248",556,"3,535",157,15,,
,LAKEWOOD,2010,,618,0,96,137,385,"5,975",949,"4,505",521,18,,
,,2011,"145,470",614,8,88,132,386,"6,178",930,"4,761",487,15,,
,PUEBLO3,2010,,886,1,33,155,697,"4,998","1,623","2,923",452,50,,
,,2011,"108,452",832,11,40,174,607,"5,473","1,584","3,422",467,49,,
,"THORNTON3,6",2010,,,5,42,55,,"3,625",555,"2,766",304,18,,
,,2011,"120,841",695,0,50,50,595,"3,438",513,"2,644",281,25,,
,WESTMINSTER,2010,,233,1,34,47,151,"3,272",533,"2,413",326,12,,
,,2011,"107,962",239,4,34,48,153,"2,800",397,"2,074",329,13,,
CONNECTICUT,BRIDGEPORT,2010,,"1,412",22,57,561,772,"4,683","1,448","2,377",858,20,,
,,2011,"144,496","1,447",20,116,610,701,"5,607","1,540","3,025","1,042",24,,
,HARTFORD,2010,,"1,624",26,46,570,982,"5,495","1,019","3,639",837,95,,
,,2011,"125,006","1,639",27,55,602,955,"5,502","1,271","3,372",859,91,,
,NEW HAVEN,2010,,"1,994",23,70,787,"1,114","7,250","1,400","4,836","1,014",17,,
,,2011,"130,019","1,744",34,55,765,890,"6,441","1,401","4,100",940,17,,
,STAMFORD,2010,,351,2,19,152,178,"1,979",349,"1,438",192,10,,
,,2011,"122,870",389,6,32,190,161,"1,987",282,"1,498",207,4,,
,WATERBURY,2010,,366,5,6,176,179,"4,646",781,"3,441",424,3,,
,,2011,"110,570",359,7,9,183,160,"4,571",818,"3,326",427,3,,
DISTRICT OF COLUMBIA,WASHINGTON,2010,,"7,468",132,184,"3,914","3,238","27,138","4,224","18,050","4,864",49,,
,,2011,"617,996","6,985",108,172,"3,756","2,949","28,312","3,849","20,124","4,339",61,,
FLORIDA,CAPE CORAL,2010,,276,3,23,64,186,"3,787","1,083","2,595",109,9,,
,,2011,"156,408",235,3,14,58,160,"3,990","1,023","2,855",112,13,,
,CLEARWATER,2010,,775,5,35,245,490,"4,338",777,"3,360",201,12,,
,,2011,"109,153",801,10,40,182,569,"4,129",719,"3,252",158,15,,
,CORAL SPRINGS,2010,,261,1,8,78,174,"2,884",517,"2,192",175,4,,
,,2011,"122,746",236,1,4,90,141,"3,035",633,"2,238",164,0,,
,FORT LAUDERDALE,2010,,"1,356",7,73,627,649,"9,914","2,841","6,437",636,44,,
,,2011,"167,777","1,565",12,91,771,691,"10,192","3,102","6,489",601,44,,
,GAINESVILLE,2010,,906,4,86,199,617,"5,404","1,213","3,859",332,22,,
,,2011,"126,049",912,6,82,184,640,"5,356","1,063","4,003",290,3,,
,HIALEAH,2010,,951,12,40,256,643,"7,858","1,098","5,693","1,067",14,,
,,2011,"227,731",860,4,31,253,572,"7,493","1,069","5,473",951,17,,
,HOLLYWOOD ,2010,,596,7,40,237,312,"7,265","1,833","4,797",635,8,,
,,2011,"142,686",660,4,47,269,340,"7,789","2,054","5,163",572,9,,
,JACKSONVILLE,2010,,"5,469",80,316,"1,693","3,380","37,424","9,588","25,863","1,973",99,,
,,2011,"834,429","5,182",71,350,"1,578","3,183","36,113","8,518","25,733","1,862",108,,
,MIAMI,2010,,"4,879",68,46,"1,856","2,909","21,218","4,604","14,165","2,449",104,,
,,2011,"404,901","4,849",68,96,"2,002","2,683","22,921","5,141","15,080","2,700",124,,
,MIAMI GARDENS,2010,,"1,061",22,25,351,663,"5,410","1,321","3,515",574,12,,
,,2011,"108,628",999,24,19,413,543,"5,397","1,485","3,270",642,26,,
,MIRAMAR,2010,,540,9,34,170,327,"3,651","1,262","2,099",290,13,,
,,2011,"123,704",514,4,40,192,278,"3,208",981,"1,969",258,9,,
,ORLANDO,2010,,"2,574",18,113,672,"1,771","15,565","4,015","10,357","1,193",42,,
,,2011,"241,548","2,591",29,119,697,"1,746","17,145","4,165","11,669","1,311",45,,
,PALM BAY,2010,,521,4,19,60,438,"2,460",740,"1,622",98,10,,
,,2011,"104,596",601,2,22,97,480,"2,739",808,"1,786",145,19,,
,PEMBROKE PINES ,2010,,276,4,12,92,168,"5,026","1,102","3,619",305,5,,
,,2011,"156,859",310,4,28,119,159,"4,944","1,059","3,591",294,11,,
