"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"ARIZONA",2016,"2588834","4080","42","682","938","2418","33208","5160","26082","1966","118"
"ARKANSAS",2016,"397600","2842","32","164","610","2036","13194","2204","9904","1086","54"
"CALIFORNIA",2016,"39721652","101304","1062","7768","35348","57126","539820","93140","346794","99886","4306"
"COLORADO",2016,"4345938","11262","84","1792","2616","6770","74750","12616","51886","10248","384"
"CONNECTICUT",2016,"1021046","3016","32","178","1108","1698","13148","2272","8848","2028","146"
"FLORIDA",2016,"9407426","26386","450","1980","7320","16636","162482","26128","122228","14126","458"
"HAWAII",2016,"1991144","2330","18","362","756","1194","31070","3686","22954","4430","278"
"ILLINOIS",2016,"7428358","33512","694","2108","11612","19098","101064","16848","72758","11458","828"
"INDIANA",2016,"726526","1830","44","180","594","1012","12354","2506","9158","690","92"
"KANSAS",2016,"904494","1206","20","238","270","678","11328","1654","8520","1154","20"
"KENTUCKY",2016,"2003356","5544","132","356","2044","3012","41376","7828","28482","5066","58"
"LOUISIANA",2016,"1509040","6706","174","728","2232","3572","30900","5736","21918","3246","220"
"MARYLAND",2016,"1236770","10352","274","300","4680","5098","27644","6924","15688","5032","274"
"MASSACHUSETTS",2016,"1121508","3886","20","200","1040","2626","14692","3714","9468","1510","62"
"MICHIGAN",2016,"1596164","4108","28","580","704","2796","15250","3094","10836","1320","118"
"MINNESOTA",2016,"1667954","6482","38","696","2340","3408","26314","4910","18028","3376","148"
"MISSOURI",2016,"2399312","16432","296","1124","4034","10978","57480","10986","38352","8142","536"
"MONTANA",2016,"222894","550","0","72","98","380","5126","648","3846","632","20"
"NEVADA",2016,"3673464","15966","174","1408","5454","8930","52108","13428","29148","9532","114"
"NEW HAMPSHIRE",2016,"220706","736","2","80","208","446","3152","480","2530","142","32"
"NEW JERSEY",2016,"1725766","4814","122","222","2260","2210","16184","3218","9304","3662","68"
"NEW YORK",2016,"1867050","6496","108","430","2258","3700","25072","5180","17888","2004","382"
"NORTH DAKOTA",2016,"242434","428","4","78","60","286","3498","508","2720","270","18"
"OHIO",2016,"3770278","15354","308","2028","6630","6388","82326","20496","52318","9512","1314"
"OKLAHOMA",2016,"2555320","9564","120","1008","2118","6318","53968","11720","35530","6718","290"
"OREGON",2016,"2170022","4718","26","640","1302","2750","47048","6002","35056","5990","268"
